"authorText","contentText"
"@itsmebas","Homo sapiens emang makhluk terkejam yg pernah ada di dunia.. bahkan sodaranya sndiri dri jenis homo yg lain punah karena homo sapiens.. homo sapiens selalu merasa dirinya penguasa tunggal alam ini, merasa dirinya superior, punya kendali atas segalanya.. bahkan sbnrnya jika dunia tidak ada homo sapiens sekalipun, dunia akan bekerja dengan caranya, dunia akan aman2 saja #scienceperspective\n.\n.\n.\n""Btw di atas itu jalan cerita dri buku dongeng yg mau gw buat.. gmn bagus gk?"" #YTTA"
"@saptonugroho641","Manusialah perusak bumi."
"@phoby2840","Kobi bahas rabies.."
"@akamage","Ada im sama 😂"
"@haykallandrykharysma","Lah, koq Iso? 🗿🗿🗿"
"@tesakhumairasuherni2378","Bakso news😭🤣🤣"
"@bihan5404","Lah kok ada rod ponegliph"
"@iqbalmohammad2641","Lagi Hype IMU di one piece,"
"@athadarmawan2403","Hmph ""human""😌"
"@asepsaepulanwar7197","one piece 😂😂😂"
"@fr8389","Lagi jalan sama papalia kali min"
"@anandaradityaofficial","Bagus sekali vidionya"
"@marchel6305","Wow"
"@tidakadanama8394","☺"
"@apriliadwikartika8986","dinosaurus\n🦕🦖"
"@hazbiqriobiangrajaa7147","Bukan berang berang tapi biwara"
"@vinsyrizy","Kek nya colab Ama one piece nih"
"@Aisyamu","ada im sama wkwk"
"@ridwanal3224","Bentar lagi death stranding"
"@sukunlupasandi","Sehat bang"
"@filmesharrifena865","Awokwokwok maalah ditangkap kozuki"
"@rasyaelrahman5542","Bng saya mau bangkitin mamoth #kokbisa?"
"@yahahahayuuuk2943","👍🏼"
"@maftukhkhoirudin1363","Ada one piece cok"
"@ilhamimazf_","Pilih bangkitin Zunisha sih bang"
"@mbgiacc6984","penikmat one piece, mana suaranya?"
"@palgunasindata3345","NAKAMA!!"
"@kaptenkukang","saya masih hidup"
"@user-fg9hf7sr7c","Bang coba bikin apa yang terjadi kalo tikus atau myamuk hilang dari bumi bang"
"@EdithCh","Yow ad yg bsa hidup di suhu -50"
"@etyoctaria-ye6jc","Iya ni aku mau ketemu T rex"
"@saharabangkit566","manusia purba bukan manusia kayak kita kan? kaya nabi adam masa sama kayak manusia purba"
"@portalnighthawk23","Raksasa!? Aku sih lebih milih burung dodo karena aku ingin tau rasa dagingnya XD"
"@marwahspk7177","Mereka punah karena evolusi dan punah karena alam dan manusia."
"@arafatarafat9117","Guuys, ada yg tau obat herbal yg bsa sembuhkan mata katarak tanpa Operasi?( gk punya uang utk Operasi"
"@pediagt","Pengen dah dino hidup lagi 🦖"
"@andyajalah-qv5vs","dasar manusia"
"@ngabowii442","megalitikum??"
"@kikirizkyariestya1014","Adam adalah raksasa nenek moyang manusia"
"@jans_tube","Selamatkan Godzilla"
"@zhildanrahman9933","Maap bg gk telat"
"@andreas2814","2:28"
"@Pertamax7-HD","ke mana ke mana ke mana :person-turqouise-waving:"
"@arisaparisapari8008","Halo bang"
"@ketatketir6731","Berarti jelas Nabi Adam a.s. bukan manusia pertama di bumi tetapi khalifah pertama jika manusia sudah ada hidup 1,5 juta tahun yang lalu sedangkan perhitungan kematian nabi adam sama tahun ini kisaran berumur 7600an tahun. Kepunahan massal berkali-kali manusia masi selamat  lalu bisa tumbuh lebih banyak lagi lebih banyak menumpahkan darah dan membuat kerusakan di bumi"
"@imshort906","😮"
"@soimdawam","4 menit lalu"
"@lunarkhalid1083","Me [In My Opinion] has to be pinned"
"@ikamaulidhika","Comment pertama"
"@sentossaputra4863","Gw yg like pertama"
